ts,symbol,direction,approved,state,reason,long_score,short_score,edge,long_ev,short_ev,price,sl,tp1,rr,regime,htf_allowed,volume_ratio,adx,atr_pct,squeeze,has_bot_div,has_top_div,is_ssl_swept,is_bsl_swept,score_reasons,ev_reasons,funding_rate,long_score_raw,short_score_raw
2026-06-29 17:44:30,TEST/BTC,Long,True,APPROVED,test,50,30,20,0,0,0,0,0,0,,,0,0,0,,False,False,False,False,,,0,0,0
2026-06-29 18:05:09,BTC/USDT,Short,False,HOLD,score=13.6_edge=26.7_below_min_ev_-0.32_too_low,40.27,13.55,26.72,-0.1418,-0.3249,60124.4,60391.48,59802.66,2.11,,Short,0.4642,8.8,0.0,,False,False,False,False,{'score': 13.55; 'smc': 18.99; 'sqzmom': 0.0; 'regime': 'mud'; 'weights': {'smc': 10.444720000000002; 'sqzmom': 0.0; 'breakout': 3.105}; 'breakdown': 'FINAL=13.5 | RAW=0.0 | SMC=19.0x1.00=19.0 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=13.5 | RAW=0.0 | SMC=19.0x1.00=19.0 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.3249,0.0071,40.27,13.55
2026-06-29 18:05:13,ETH/USDT,Short,False,HOLD,score=12.6_edge=26.7_below_min_ev_-0.34_too_low,39.34,12.62,26.72,-0.1571,-0.3385,1578.16,1590.5,1568.13,1.42,,Short,0.3099,12.0,0.0,,False,False,False,False,{'score': 12.62; 'smc': 17.3; 'sqzmom': 0.0; 'regime': 'mud'; 'weights': {'smc': 9.51478; 'sqzmom': 0.0; 'breakout': 3.105}; 'breakdown': 'FINAL=12.6 | RAW=0.0 | SMC=17.3x1.00=17.3 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=12.6 | RAW=0.0 | SMC=17.3x1.00=17.3 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.3385,0.0071,39.34,12.62
2026-06-29 18:15:12,BTC/USDT,Short,False,HOLD,score=13.6_edge=28.4_below_min_ev_-0.32_too_low,41.93,13.55,28.38,-0.1142,-0.3249,60204.7,60399.54,59892.96,2.8,,Short,0.0009,10.3,0.0,,False,False,False,False,{'score': 13.55; 'smc': 18.99; 'sqzmom': 0.0; 'regime': 'mud'; 'weights': {'smc': 10.444720000000002; 'sqzmom': 0.0; 'breakout': 3.105}; 'breakdown': 'FINAL=13.5 | RAW=0.0 | SMC=19.0x1.00=19.0 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=13.5 | RAW=0.0 | SMC=19.0x1.00=19.0 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.3249,0.007,41.93,13.55
2026-06-29 18:15:16,ETH/USDT,Short,False,HOLD,score=12.6_edge=28.5_below_min_ev_-0.34_too_low,41.1,12.62,28.48,-0.128,-0.3385,1583.36,1590.51,1573.32,2.46,,Short,0.0101,13.4,0.0,,False,False,False,False,{'score': 12.62; 'smc': 17.3; 'sqzmom': 0.0; 'regime': 'mud'; 'weights': {'smc': 9.51478; 'sqzmom': 0.0; 'breakout': 3.105}; 'breakdown': 'FINAL=12.6 | RAW=0.0 | SMC=17.3x1.00=17.3 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=12.6 | RAW=0.0 | SMC=17.3x1.00=17.3 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.3385,0.007,41.1,12.62
2026-06-29 18:28:32,BTC/USDT,Short,False,HOLD,score=12.7_edge=28.4_below_min_ev_-0.34_too_low,41.1,12.72,28.38,-0.128,-0.337,60168.1,60392.56,59841.43,2.55,,Short,0.9237,10.3,0.0,,False,False,False,False,{'score': 12.72; 'smc': 17.49; 'sqzmom': 0.0; 'regime': 'mud'; 'weights': {'smc': 9.619720000000001; 'sqzmom': 0.0; 'breakout': 3.105}; 'breakdown': 'FINAL=12.7 | RAW=0.0 | SMC=17.5x1.00=17.5 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=12.7 | RAW=0.0 | SMC=17.5x1.00=17.5 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.337,0.0069,41.1,12.72
2026-06-29 18:28:36,ETH/USDT,Short,False,HOLD,score=12.6_edge=28.5_below_min_ev_-0.34_too_low,41.1,12.62,28.48,-0.128,-0.3385,1580.67,1590.59,1570.23,1.84,,Short,0.5219,13.4,0.0,,False,False,False,False,{'score': 12.62; 'smc': 17.3; 'sqzmom': 0.0; 'regime': 'mud'; 'weights': {'smc': 9.51478; 'sqzmom': 0.0; 'breakout': 3.105}; 'breakdown': 'FINAL=12.6 | RAW=0.0 | SMC=17.3x1.00=17.3 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=12.6 | RAW=0.0 | SMC=17.3x1.00=17.3 | SQZ=0.0x0.9=0.0 | BRK=6.9 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(6.9<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.3385,0.0069,41.1,12.62
2026-06-29 18:42:24,BTC/USDT,Short,False,HOLD,score=14.8_edge=22.1_below_min_ev_-0.31_too_low,36.96,14.82,22.14,-0.1793,-0.3133,60085.3,60678.36,59713.0,0.95,,Short,0.6727,10.3,0.0,,False,False,False,False,{'score': 14.82; 'smc': 16.28; 'sqzmom': 4.09; 'regime': 'mud'; 'weights': {'smc': 8.95246; 'sqzmom': 2.209090909090909; 'breakout': 3.6571499999999997}; 'breakdown': 'FINAL=14.8 | RAW=0.0 | SMC=16.3x1.00=16.3 | SQZ=4.1x0.9=3.7 | BRK=8.1 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(8.1<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=14.8 | RAW=0.0 | SMC=16.3x1.00=16.3 | SQZ=4.1x0.9=3.7 | BRK=8.1 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(8.1<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.3133,0.0067,36.96,14.82
2026-06-29 18:42:30,ETH/USDT,Short,False,HOLD,score=22.6_edge=7.5_ev_-0.26_too_low,30.01,22.55,7.46,-0.2274,-0.2559,1578.46,1597.4,1569.5,0.93,,Short,0.4072,13.2,0.0,,False,False,False,False,{'score': 22.55; 'smc': 18.59; 'sqzmom': 4.77; 'regime': 'mud'; 'weights': {'smc': 10.224610000000002; 'sqzmom': 2.5772727272727267; 'breakout': 3.74895}; 'breakdown': 'FINAL=22.6 | RAW=6.0 | SMC=18.6x1.00=18.6 | SQZ=4.8x0.9=4.3 | BRK=8.3 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(8.3<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=22.6 | RAW=6.0 | SMC=18.6x1.00=18.6 | SQZ=4.8x0.9=4.3 | BRK=8.3 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(8.3<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.2559,0.0067,30.01,22.55
2026-06-29 18:45:36,BTC/USDT,Short,False,HOLD,score=16.6_edge=20.4_below_min_ev_-0.29_too_low,36.96,16.58,20.38,-0.1793,-0.287,60115.4,60671.62,59713.0,0.94,,Short,0.0039,10.4,0.0,,False,False,False,False,{'score': 16.58; 'smc': 19.48; 'sqzmom': 4.09; 'regime': 'mud'; 'weights': {'smc': 10.71246; 'sqzmom': 2.209090909090909; 'breakout': 3.6571499999999997}; 'breakdown': 'FINAL=16.6 | RAW=0.0 | SMC=19.5x1.00=19.5 | SQZ=4.1x0.9=3.7 | BRK=8.1 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(8.1<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=16.6 | RAW=0.0 | SMC=19.5x1.00=19.5 | SQZ=4.1x0.9=3.7 | BRK=8.1 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(8.1<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.287,0.0067,36.96,16.58
2026-06-29 18:45:41,ETH/USDT,Short,False,HOLD,score=17.9_edge=18.6_below_min_ev_-0.27_too_low,36.47,17.85,18.62,-0.1872,-0.2676,1578.68,1596.35,1569.5,0.93,,Short,0.0027,13.1,0.0,,False,False,False,False,{'score': 17.85; 'smc': 21.79; 'sqzmom': 4.09; 'regime': 'mud'; 'weights': {'smc': 11.98461; 'sqzmom': 2.209090909090909; 'breakout': 3.6571499999999997}; 'breakdown': 'FINAL=17.9 | RAW=0.0 | SMC=21.8x1.00=21.8 | SQZ=4.1x0.9=3.7 | BRK=8.1 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(8.1<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=17.9 | RAW=0.0 | SMC=21.8x1.00=21.8 | SQZ=4.1x0.9=3.7 | BRK=8.1 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(8.1<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.2676,0.0067,36.47,17.85
2026-06-29 19:13:25,BTC/USDT,Short,True,HOLD,score_29.8_edge_7.8_approved,21.98,29.8,7.82,-0.3036,-0.1898,59949.7,60519.72,59713.0,0.93,,Short,0.7862,9.6,0.0,,False,False,False,False,{'score': 29.8; 'smc': 19.48; 'sqzmom': 8.86; 'regime': 'mud'; 'weights': {'smc': 10.71246; 'sqzmom': 4.786363636363636; 'breakout': 4.3011}; 'breakdown': 'FINAL=29.8 | RAW=10.0 | SMC=19.5x1.00=19.5 | SQZ=8.9x0.9=8.0 | BRK=9.6 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(9.6<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=29.8 | RAW=10.0 | SMC=19.5x1.00=19.5 | SQZ=8.9x0.9=8.0 | BRK=9.6 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(9.6<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.1898,0.0063,21.98,29.8
2026-06-29 19:13:32,ETH/USDT,Short,True,HOLD,score_41.1_edge_27.1_approved,14.03,41.11,27.08,-0.3553,-0.0844,1573.47,1591.53,1569.5,0.93,,Short,0.6203,12.2,0.0,,False,False,False,False,{'score': 41.11; 'smc': 21.79; 'sqzmom': 13.64; 'regime': 'mud'; 'weights': {'smc': 11.98461; 'sqzmom': 8.181818181818182; 'breakout': 4.9464}; 'breakdown': 'FINAL=41.1 | RAW=16.0 | SMC=21.8x1.00=21.8 | SQZ=13.6x1.0=13.6 | BRK=11.0 | SQZ_CONFIRMED | BRK_PASSED(11.0>=10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'C'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=41.1 | RAW=16.0 | SMC=21.8x1.00=21.8 | SQZ=13.6x1.0=13.6 | BRK=11.0 | SQZ_CONFIRMED | BRK_PASSED(11.0>=10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': True},-0.0844,0.0063,14.03,41.11
2026-06-29 19:14:29,BTC/USDT,Short,True,HOLD,score_29.8_edge_7.8_approved,21.98,29.8,7.82,-0.3036,-0.1898,59928.8,60498.82,59713.0,0.93,,Short,0.8406,9.6,0.0,,False,False,False,False,{'score': 29.8; 'smc': 19.48; 'sqzmom': 8.86; 'regime': 'mud'; 'weights': {'smc': 10.71246; 'sqzmom': 4.786363636363636; 'breakout': 4.3011}; 'breakdown': 'FINAL=29.8 | RAW=10.0 | SMC=19.5x1.00=19.5 | SQZ=8.9x0.9=8.0 | BRK=9.6 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(9.6<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=29.8 | RAW=10.0 | SMC=19.5x1.00=19.5 | SQZ=8.9x0.9=8.0 | BRK=9.6 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(9.6<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.1898,0.0063,21.98,29.8
2026-06-29 19:17:12,ETH/USDT,Short,True,HOLD,score_40.7_edge_27.1_approved,13.65,40.73,27.08,-0.3607,-0.0909,1571.85,1588.99,1569.5,0.93,,Short,0.1706,11.7,0.0,,False,False,False,False,{'score': 40.73; 'smc': 21.1; 'sqzmom': 13.64; 'regime': 'mud'; 'weights': {'smc': 11.606706774193961; 'sqzmom': 8.181818181818182; 'breakout': 4.9464}; 'breakdown': 'FINAL=40.7 | RAW=16.0 | SMC=21.1x1.00=21.1 | SQZ=13.6x1.0=13.6 | BRK=11.0 | SQZ_CONFIRMED | BRK_PASSED(11.0>=10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'C'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=40.7 | RAW=16.0 | SMC=21.1x1.00=21.1 | SQZ=13.6x1.0=13.6 | BRK=11.0 | SQZ_CONFIRMED | BRK_PASSED(11.0>=10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': True},-0.0909,0.0062,13.65,40.73
2026-06-29 19:51:22,BTC/USDT,Short,False,HOLD,score=27.2_edge=6.1_ev_-0.23_too_low,21.15,27.21,6.06,-0.3159,-0.2309,59818.2,60401.31,59713.0,0.93,,Short,0.2008,9.6,0.0,,False,False,False,False,{'score': 27.21; 'smc': 14.78; 'sqzmom': 8.86; 'regime': 'mud'; 'weights': {'smc': 8.127460000000001; 'sqzmom': 4.786363636363636; 'breakout': 4.3011}; 'breakdown': 'FINAL=27.2 | RAW=10.0 | SMC=14.8x1.00=14.8 | SQZ=8.9x0.9=8.0 | BRK=9.6 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(9.6<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=27.2 | RAW=10.0 | SMC=14.8x1.00=14.8 | SQZ=8.9x0.9=8.0 | BRK=9.6 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(9.6<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.2309,0.0053,21.15,27.21
2026-06-29 19:51:26,ETH/USDT,Short,False,HOLD,score=25.7_edge=0.5_below_min_ev_-0.25_too_low,25.19,25.73,0.54,-0.2624,-0.2465,1571.6,1589.93,1569.29,0.93,,Short,0.1625,11.8,0.0,,False,False,False,False,{'score': 25.73; 'smc': 17.09; 'sqzmom': 4.77; 'regime': 'mud'; 'weights': {'smc': 9.399610000000003; 'sqzmom': 2.5772727272727267; 'breakout': 3.74895}; 'breakdown': 'FINAL=25.7 | RAW=10.0 | SMC=17.1x1.00=17.1 | SQZ=4.8x0.9=4.3 | BRK=8.3 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(8.3<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)'; 'grade': 'D'; 'allow': True; 'model': 'SMC_IMPULSE_ENGINE'; 'reasons': ['FINAL=25.7 | RAW=10.0 | SMC=17.1x1.00=17.1 | SQZ=4.8x0.9=4.3 | BRK=8.3 | SQZ_UNCONFIRMED_x0.9 | BRK_LOW(8.3<10.0) | DOM=balanced(w_smc=0.55;w_sqz=0.6;w_brk=0.45) | TIER=C(bonus=0.0;mult=0.6)']; 'smc_passed': True; 'sqz_passed': False},-0.2465,0.0053,25.19,25.73
